afterHoursDistance,afterHoursDrivingDuration,afterHoursEnd,afterHoursStart,afterHoursStopDuration,averageSpeed,distance,drivingDuration,idlingDuration,isSeatBeltOff,maximumSpeed,nextTripStart,speedRange1,speedRange1Duration,speedRange2,speedRange2Duration,speedRange3,speedRange3Duration,start,stop,stopDuration,workDistance,workDrivingDuration,workStopDuration,id,engineHours,vehicle_id,trip_id
1.7438039,380,true,true,9819,16.479612,1.7438039,380,11,false,63,2019-11-19 16:55:14.062000+00:00,0,0,0,0,0,0,2019-11-16 00:09:59.063000+00:00,2019-11-16 00:16:20+00:00,13134,0,0,64514,b909A338,null,be3d,9b33980a
0.46427613,56,true,true,0,29.846323,0.46427613,56,0,false,61,2019-11-16 00:16:38.127000+00:00,0,0,0,0,0,0,2019-11-16 00:15:42.063000+00:00,2019-11-16 00:16:38.063000+00:00,0,0,0,0,b945E389,null,0be,998b54e3
16.787394,2182,true,true,5637,27.696892,16.787394,2182,0,false,72,2019-11-16 01:50:48.063000+00:00,0,0,0,0,0,0,2019-11-15 23:40:29.063000+00:00,2019-11-16 00:16:51.063000+00:00,5637,0,0,0,b95CDCCF,null,6ddb,fccbc95d
0.24626665,90,true,true,805,9.7491665,0.24626665,90,5,false,22,2019-11-16 00:30:20.063000+00:00,0,0,0,0,0,0,2019-11-16 00:15:24.063000+00:00,2019-11-16 00:16:55+00:00,805,0,0,0,b9465FE3,null,89b6,65f4e93b
17.60258,1511,true,true,420,41.93689,17.60258,1511,0,false,96,2019-11-16 00:23:56.063000+00:00,0,0,0,0,0,0,2019-11-15 23:51:45+00:00,2019-11-16 00:16:56.063000+00:00,420,0,0,0,b902CEAB,null,71bb8,ae9bb02c
1.0558407,258,true,true,50197,14.679349,1.0558407,258,68,false,41,2019-11-16 14:13:42.062000+00:00,0,0,0,0,0,0,2019-11-16 00:12:46.063000+00:00,2019-11-16 00:17:05+00:00,50197,0,0,0,b9473C87,null,b8ac,7b89437c
0.039156247,209,true,true,60263,0.67446166,0.039156247,209,2308,false,3,2019-11-16 17:02:12.063000+00:00,0,0,0,0,0,0,2019-11-16 00:14:20+00:00,2019-11-16 00:17:49+00:00,60263,0,0,0,b919CD0F,null,bf28,0919cfdb
0.028076129,16,true,true,4781,5.9676485,0.028076129,16,66,false,12,2019-11-17 17:37:43.127000+00:00,0,0,0,0,0,0,2019-11-16 00:17:45.063000+00:00,2019-11-16 00:18:02+00:00,4781,0,0,0,b9039731,null,ba2d,079b1339
9.233992,1774,true,true,4121,18.738653,9.233992,1774,0,false,74,2019-11-17 12:26:53.063000+00:00,0,0,0,0,0,0,2019-11-15 23:48:38.063000+00:00,2019-11-16 00:18:12.063000+00:00,4121,0,0,0,b91BB6D7,null,3b05,b7bb6d91
8.116703,570,true,true,17626,51.263386,8.116703,570,4,false,96,2019-11-16 05:12:03.062000+00:00,0,0,0,0,0,0,2019-11-16 00:08:47+00:00,2019-11-16 00:18:17+00:00,17626,0,0,0,b902F525,null,b3ba,25592bf0
